iter	Passed	Remaining
887	3406	34958
888	3409	34944
889	3413	34939
890	3415	34922
891	3419	34918
892	3423	34909
893	3426	34899
894	3429	34886
895	3432	34880
896	3436	34871
897	3439	34860
898	3442	34851
899	3446	34843
900	3449	34834
901	3452	34827
902	3456	34819
903	3459	34808
904	3463	34802
905	3466	34799
906	3469	34783
907	3473	34780
908	3476	34773
909	3480	34765
910	3483	34759
911	3487	34749
912	3490	34740
913	3493	34730
914	3497	34723
915	3500	34717
916	3504	34710
917	3507	34703
918	3510	34686
919	3513	34680
920	3517	34674
921	3520	34664
922	3523	34650
923	3526	34636
924	3528	34620
925	3532	34614
926	3535	34603
927	3538	34592
928	3541	34578
929	3545	34575
930	3548	34566
931	3551	34552
932	3554	34544
933	3557	34535
934	3561	34525
935	3564	34517
936	3567	34509
937	3571	34500
938	3574	34497
939	3578	34493
940	3583	34493
941	3587	34491
942	3591	34490
943	3595	34487
944	3598	34482
945	3602	34475
946	3605	34470
947	3609	34465
948	3613	34466
949	3618	34472
950	3622	34467
951	3626	34467
952	3630	34464
953	3633	34456
954	3637	34453
955	3641	34452
956	3645	34443
957	3649	34447
958	3653	34447
959	3656	34434
960	3660	34430
961	3663	34421
962	3667	34412
963	3670	34403
964	3673	34393
965	3677	34388
966	3679	34371
967	3683	34367
968	3686	34359
969	3689	34350
970	3693	34343
971	3696	34337
972	3700	34330
973	3703	34319
974	3706	34305
975	3709	34301
976	3713	34295
977	3716	34282
978	3719	34277
979	3723	34266
980	3726	34258
981	3729	34251
982	3732	34237
983	3736	34235
984	3739	34226
985	3742	34216
986	3746	34210
987	3749	34203
988	3753	34196
989	3756	34188
990	3760	34186
991	3763	34177
992	3766	34168
993	3770	34157
994	3772	34146
995	3776	34142
996	3780	34135
997	3783	34126
998	3786	34118
999	3790	34110
1000	3793	34105
1001	3797	34100
1002	3799	34085
1003	3804	34089
1004	3808	34083
1005	3810	34071
1006	3814	34067
1007	3818	34059
1008	3821	34049
1009	3824	34040
1010	3827	34033
1011	3830	34024
1012	3834	34017
1013	3837	34011
1014	3841	34004
1015	3844	33998
1016	3848	33992
1017	3851	33984
1018	3854	33975
1019	3858	33967
1020	3861	33960
1021	3864	33952
1022	3868	33945
1023	3871	33938
1024	3875	33932
1025	3878	33924
1026	3881	33911
1027	3885	33907
1028	3888	33900
1029	3891	33892
1030	3895	33884
1031	3898	33873
1032	3901	33867
1033	3904	33853
1034	3908	33850
1035	3911	33841
1036	3914	33833
1037	3917	33826
1038	3921	33818
1039	3924	33812
1040	3928	33805
1041	3931	33796
1042	3935	33797
1043	3937	33782
1044	3942	33786
1045	3945	33777
1046	3947	33754
1047	3950	33740
1048	3953	33734
1049	3957	33729
1050	3959	33715
1051	3963	33710
1052	3967	33706
1053	3970	33701
1054	3973	33692
1055	3977	33687
1056	3980	33680
1057	3984	33674
1058	3987	33668
1059	3991	33660
1060	3993	33644
1061	3997	33642
1062	4001	33637
1063	4004	33633
1064	4008	33631
1065	4012	33626
1066	4016	33623
1067	4020	33625
1068	4024	33623
1069	4028	33619
1070	4031	33614
1071	4035	33608
1072	4039	33603
1073	4041	33591
1074	4045	33590
1075	4049	33586
1076	4052	33577
1077	4056	33570
1078	4058	33559
1079	4063	33557
1080	4066	33550
1081	4069	33544
1082	4073	33539
1083	4076	33526
1084	4079	33522
1085	4082	33510
1086	4086	33505
1087	4089	33497
1088	4093	33492
1089	4096	33484
1090	4099	33478
1091	4103	33471
1092	4106	33465
1093	4110	33458
1094	4113	33452
1095	4116	33446
1096	4120	33438
1097	4123	33432
1098	4127	33425
1099	4130	33419
1100	4133	33413
1101	4137	33407
1102	4140	33398
1103	4142	33382
1104	4146	33380
1105	4150	33372
1106	4153	33366
1107	4156	33359
1108	4160	33354
1109	4163	33349
1110	4167	33345
1111	4171	33340
1112	4174	33334
1113	4178	33329
1114	4181	33321
1115	4185	33315
1116	4188	33305
1117	4191	33303
1118	4195	33298
1119	4198	33287
1120	4202	33284
1121	4204	33272
1122	4208	33266
1123	4211	33259
1124	4215	33253
1125	4218	33246
1126	4221	33239
1127	4224	33227
1128	4228	33224
1129	4231	33219
1130	4235	33212
1131	4238	33203
1132	4241	33191
1133	4244	33187
1134	4248	33179
1135	4251	33172
1136	4254	33166
1137	4258	33159
1138	4261	33149
1139	4264	33145
1140	4267	33135
1141	4271	33132
1142	4274	33119
1143	4278	33118
1144	4281	33112
1145	4285	33107
1146	4288	33103
1147	4292	33098
1148	4295	33088
1149	4299	33086
1150	4302	33078
1151	4305	33071
1152	4309	33065
1153	4312	33057
1154	4315	33047
1155	4317	33034
1156	4321	33030
1157	4324	33021
1158	4327	33009
1159	4331	33006
1160	4333	32993
1161	4337	32991
1162	4341	32986
1163	4344	32981
1164	4354	33025
1165	4366	33080
1166	4373	33102
1167	4378	33111
1168	4382	33103
1169	4386	33105
1170	4390	33104
1171	4396	33119
1172	4400	33117
1173	4404	33113
1174	4407	33106
1175	4411	33101
1176	4415	33099
1177	4419	33096
1178	4423	33092
1179	4426	33087
1180	4430	33081
1181	4433	33073
1182	4436	33068
1183	4440	33063
1184	4444	33058
1185	4447	33053
1186	4450	33042
1187	4453	33037
1188	4457	33032
1189	4460	33023
1190	4463	33016
1191	4466	33004
1192	4470	33001
1193	4473	32995
1194	4477	32989
1195	4480	32983
1196	4484	32978
1197	4487	32973
1198	4491	32967
1199	4494	32959
1200	4497	32952
1201	4501	32945
1202	4504	32938
1203	4507	32933
1204	4511	32926
1205	4514	32916
1206	4518	32914
1207	4520	32901
1208	4524	32897
1209	4527	32891
1210	4530	32882
1211	4534	32877
1212	4538	32874
1213	4542	32871
1214	4545	32868
1215	4550	32869
1216	4554	32866
1217	4557	32863
1218	4561	32857
1219	4565	32854
1220	4569	32851
1221	4571	32840
1222	4575	32835
1223	4578	32826
1224	4581	32820
1225	4585	32815
1226	4589	32811
1227	4591	32801
1228	4595	32797
1229	4599	32791
1230	4602	32787
1231	4606	32781
1232	4609	32774
1233	4612	32763
1234	4616	32761
1235	4619	32757
1236	4623	32751
1237	4626	32741
1238	4629	32733
1239	4632	32728
1240	4635	32719
1241	4638	32707
1242	4642	32704
1243	4645	32698
1244	4648	32687
1245	4652	32684
1246	4654	32670
1247	4658	32667
1248	4661	32661
1249	4664	32652
1250	4668	32650
1251	4671	32639
1252	4675	32637
1253	4678	32628
1254	4681	32622
1255	4685	32616
1256	4688	32611
1257	4692	32607
1258	4695	32596
1259	4699	32595
